"","Author","Isbn","Ean","Title","Pub.Date","Medium","Ans.Code","Available","Consignment.On.Hand","Reserved.Stock","Sets.Made.Up","Fcst"
"119","SCHACTER.DANIEL.L.","1464106037","9781464106033","PSYCHOLOGY.3E.C",2014-01-02,"CT","AS",5811,1296,0,1233,2532.32359846451
"120","SCHACTER.DANIEL.L.","1464107815","9781464107818","INTRODUCING.PSYCHOLOGY.3E",2015-01-09,"PT","AS",826,49,1,165,0
"121","LICHT.DEBORAH","1464108781","9781464108785","SCI.AM.PSYCHOLOGY.1E.LL",2014-01-29,"LL","AS",4827,0,0,759,3838.38002158367
"122","SOWDER.JUDITH","1464108994","9781464108990","SSM.RECON.MATH.2E",2013-05-28,"SM","OS",4,0,0,0,107.65433113178
"123","SOWDER.JUDITH","146410901X","9781464109010","LL.RECONCEPT.MATH.2E",2012-12-28,"LL","AS",1117,0,0,88,709.440549594429
"124","STRAUB.RICHARD.O.","1464109370","9781464109379","HEALTH.PSYCHOLOGY.4E",2014-02-07,"CT","AS",264,451,0,12,1190.2621904368
"125","COWEN.TYLER","1464110174","9781464110177","LL.MODERN.PRINCIPLES.ECON.3E",2014-12-15,"LL","AS",839,0,0,42,0
"126","COWEN.TYLER","1464110247","9781464110245","LL.MOD.PRIN.MACRO.3E",2014-12-30,"LL","AS",1361,0,0,67,0
"127","COWEN.TYLER","146411031X","9781464110313","LL.MOD.PRIN.MICRO.3E",2014-12-15,"LL","AS",1419,0,0,238,0
"128","KRUGMAN.PAUL","1464110379","9781464110375","MACROECONOMICS.4E.P",2015-04-14,"PT","AS",4129,1213,0,285,0
"129","KOKOSKA.STEPHEN","1464111693","9781464111693","INTRODUCTORY.STATISTICS.2E",2014-12-17,"CT","AS",189,9,0,27,0
"130","SCHACTER.DANIEL.L.","1464113084","9781464113086","LL.INTRODUCING.PSYCH.3E",2015-01-09,"LL","AS",39,0,0,544,0
"131","ROGAWSKI.JON","1464114889","9781464114885","CALCULUS.ET.3E.C",2015-01-15,"CT","AS",3068,683,0,499,0
"132","NOLAN.SUSAN","1464122113","9781464122118","LL.STATS.BEHAV.SCI.3E",2014-05-09,"LL","AS",132,0,0,47,321.367586199786
"133","RAY.MARGARET","1464122180","9781464122187","HS.AP.ECONOMICS.2E",2015-01-23,"CT","AS",8228,1847,5,14,0
"134","ATKINS.PETER","1464124663","9781464124662","LL.CHEMICAL.PRINCIPLES.6E",2012-12-21,"LL","AS",27,0,0,398,719.253621879604
"135","ROGAWSKI.JON","1464125260","9781464125263","CALC.COMBO.3E.LT",2015-01-30,"CT","AS",150,136,0,186,0
"136","RAYNER.CANHAM.GEOFF","1464125570","9781464125577","DESCRIPTIVE.INORGANIC.CHEM.6E",2013-12-22,"CT","AS",175,12,0,24,485.23446287462
"137","BERG.JEREMY.M.","1464126100","9781464126109","BIOCHEMISTRY.8E",2015-04-08,"CT","AS",4948,2286,0,160,0
"138","TYMOCZKO.JOHN.L.","1464126135","9781464126130","BIOCHEM.SHORT.COURSE.3E",2015-04-24,"PT","AS",1694,721,81,136,0
"139","COX.MICHAEL.M.","1464126143","9781464126147","MOLECULAR.BIOLOGY.2E",2015-03-16,"CT","OS",1,177,0,0,0
"140","SHUSTER.MICHELE","1464126755","9781464126758","LL.SCI.AM.BIO.CHANGING.WORLD.2E",2014-03-07,"LL","AS",1151,0,0,149,802.30203004754
"141","MOORE.DAVID.S.","1464133379","9781464133374","LL.INTRO.PRAC.STATS.8E",2014-02-07,"LL","NAB",0,0,0,447,743.884838744897
"142","DOMOSH.MONA","1464133441","9781464133442","CONTEMPORARY.HUMAN.GEO.1E",2014-12-19,"PT","AS",113,55,0,17,0
