Author,Isbn,Ean,Title,Pub Date,Medium,Ans Code,Available,Consignment On Hand,Reserved Stock,Sets Made Up,Month,Gross Units,Return Units,Prev Edition Isbn,Prev Edition Ean
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200207,319,57,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200208,697,11,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200209,160,7,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200210,10,29,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200211,110,126,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200212,1273,84,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200301,347,4,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200302,76,47,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200303,38,153,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200304,3,157,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200305,1,151,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200306,211,65,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200307,1123,26,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200308,1141,14,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200309,538,3,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200310,29,92,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200311,214,140,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200312,1066,84,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200401,93,104,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200402,77,84,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200403,15,203,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200404,1,162,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200405,15,82,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200406,59,32,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200407,224,42,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200408,355,16,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200409,290,1,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200410,9,29,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200411,160,30,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200412,733,34,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200501,142,10,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200502,12,27,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200503,13,130,,
"SCHWARTZ, STUART B.",0312393555,9780312393557,VICTORS AND VANQUISHED REPRINT,11/15/2000 12:00AM,PT,AS,1051,31,0,1,200504,20,79,,
