"","Author","Isbn","Ean","Title","Pub.Date","Medium","Ans.Code","Available","Consignment.On.Hand","Reserved.Stock","Sets.Made.Up","Prev.Edition.Isbn","Prev.Edition.Ean","Review","OQ.3","OQ.6","OQ.9","OQ.12","OQ.15"
"231","REYNOLDS.NEDRA","312419090","9780312419097","PORTFOLIO.KEEPING.2E",2006-02-03,"PT","NR",0,0,0,137,"",NA,"Print review",777,1554,2331,3108,3884
"232","O.GRADY.WILLIAM","312419368","9780312419363","CONTEMPORARY.LINGUISTICS.5E",2004-12-20,"PT","NR",0,0,0,0,"",NA,"Print review",3438,3128,4839,4279,7717
"233","BARNET.SYLVAN","312436289","9780312436285","CONTEMPORARY..CLASSIC.ARGUMENTS",2004-11-09,"PT","NR",0,0,0,0,"",NA,"Print review",297,594,891,1188,1485
"234","SELLERS.HEATHER","312436475","9780312436476","PRACTICE.CREATIVE.WRITING",2007-07-27,"PT","NR",0,10,0,0,"",NA,"Print review",-1395,-1738,-2170,-2517,-4443
"235","AARON.JANE.E.","031243829X","9780312438296","X40.MODEL.ESSAYS",2005-01-26,"PT","NR",43,357,112,0,"",NA,"Print review",-1375,-2171,-2442,-2559,-3934
"236","RYAN.LEIGH","312440685","9780312440688","BDF.GDE.WRITING.TUTORS.4E",2005-11-15,"PT","NR",0,0,0,0,"",NA,"Print review",489,978,1467,1956,2445
"237","MCMILLAN.VICTORIA.E.","312440839","9780312440831","WRITING.PAPERS.BIO.SCIENCE.4E",2006-03-17,"SP","NR",0,0,0,0,"",NA,"Print review",-1245,-1544,3720,4001,2756
"238","SCHAKEL.PETER","312466161","9780312466169","X250.POEMS.PORTABLE.ANTHOLOGY.2E",2008-08-08,"PT","NR",0,0,0,0,"",NA,"Print review",-307,-626,357,173,-134
"239","JACOBUS.LEE.A.","312474881","9780312474881","BEDFORD.INTRO.DRAMA.6E",2008-09-05,"PT","NR",0,0,0,0,"",NA,"Print review",-1256,-2520,-1734,-2566,-4340
"240","JACOBUS.LEE.A.","031247489X","9780312474898","COMPACT.BEDFORD.INTRO.DRAMA.6E",2008-09-12,"PT","NR",0,0,0,0,"",NA,"Print review",6,13,19,26,32
"241","LAWN.BEVERLY","312477104","9780312477103","X40.SHORT.STORIES.3E",2008-09-03,"PT","NR",0,0,0,0,"",NA,"Print review",-918,891,47,895,-23
"242","ROARK.JAMES.L.","031253406X","9780312534066","AMERICAN.PROMISE.COMPACT.4E.CMB",2009-12-16,"PT","NR",0,0,0,0,"",NA,"Print review",-309,-319,12,-1,-310
"243","ROARK.JAMES.L.","312534078","9780312534073","AMERICAN.PROMISE.COMPACT.4E.V1",2009-12-16,"PT","NR",0,0,0,0,"",NA,"Print review",-39,-494,-1110,-545,-584
"244","MEYER.MICHAEL","312539193","9780312539191","POETRY.AN.INTRO.6E",2009-10-06,"PT","NR",0,0,0,0,"",NA,"Print review",423,1854,7913,8651,9074
"245","BARNET.SYLVAN","312547323","9780312547325","CURRENT.ISSUES.ENDUR.QUEST.9E",2010-07-01,"PT","NR",0,3,0,0,"",NA,"Print review",0,0,0,0,0
"246","REILLY.KEVIN","312549881","9780312549886","WORLDS.OF.HISTORY.4E.V2",2010-07-21,"PT","NR",86,5,0,0,"",NA,"Print review",2143,2104,1915,1860,4003
"247","CHARTERS.ANN","312556411","9780312556419","LIT..ITS.WRITERS.5E.COMPACT",2009-09-25,"PT","NR",0,0,0,20,"",NA,"Print review",1634,4115,4734,3735,5369
"248","BROOKS.BRIAN.S.","312560796","9780312560799","WORKING.WITH.WORDS.7E",2009-11-05,"PT","NR",0,0,0,0,"",NA,"Print review",49,-576,269,216,265
"249","BROOKS.BRIAN.S.","312560818","9780312560812","WBK.WORKING.WITH.WORDS.7E",2009-11-05,"PT","NR",0,0,0,0,"",NA,"Print review",-1243,-2616,-4277,-4543,-5785
"250","GARDNER.JANET.E.","312607571","9780312607579","WRITING.ABOUT.LIT.2E.09.MLA.UPD",2009-06-19,"PT","NR",9,0,0,22,"",NA,"Print review",-245,-1296,1687,875,631
"251","ESCHHOLZ.PAUL","312612737","9780312612733","SUBJECT.AND.STRATEGY.12E",2010-12-17,"PT","NR",0,0,0,184,"",NA,"Print review",31,-46,286,543,574
"252","MISSOURI.GROUP","312618115","9780312618117","NEWS.REPORTING..WRITING.10E",2010-11-10,"PT","NR",0,0,0,0,"",NA,"Print review",326,696,973,938,1265
"253","MEYER.MICHAEL","312624123","9780312624125","LITERATURE.TO.GO",2010-10-01,"PT","NR",0,0,0,0,"",NA,"Print review",79,157,236,315,393
"254","MCKAY.JOHN.P.","312638272","9780312638276","HISTORY.WEST.SOC.10E.SINCE.1300",2010-10-13,"PT","NR",0,0,0,0,"",NA,"Print review",740,-50,1234,931,1671
"255","O.HAIR.DAN","312644205","9780312644208","REAL.COMMUNICATION.2E",2011-11-09,"PT","OP",2,0,0,145,"312248482","9780312248482","Print review",-1691,-2972,655,-137,-1829
