"","Author","Isbn","Ean","Title","Pub.Date","Medium","Ans.Code","Available","Consignment.On.Hand","Reserved.Stock","Sets.Made.Up","Prev.Edition.Isbn","Prev.Edition.Ean","Review","OQ.3","OQ.6","OQ.9","OQ.12","OQ.15"
"169","AXELROD.RISE.B.","031260761X","9780312607616","READ.CRITICALLY.WRITING.WELL.9E",2011-01-04,"PT","OSI",308,69,0,70,"",NA,"No Review",209,419,628,837,1047
"170","RAMPOLLA.MARY.LYNN","312610416","9780312610418","POCKET.GUIDE.WRITING.HIST.7E",2012-01-20,"PT","OP",33,83,0,371,"312535031","9780312535032","No Review",0,0,0,0,0
"171","KENNEDY.X.J.","312613385","9780312613389","BRIEF.BEDFORD.READER.11E",2011-02-10,"PT","NR",0,0,0,294,"",NA,"No Review",0,0,0,0,0
"172","ALRED.GERALD.J.","312631324","9780312631321","BUSINESS.WRITERS.COMP.6E.REPRINT",2010-12-22,"SP","NR",484,0,0,0,"",NA,"No Review",0,0,0,0,0
"173","HENRETTA.JAMES.A.","312643284","9780312643287","AMERICA.CONCISE.HISTORY.5E.V1",2012-01-09,"PT","AS",1099,0,0,965,"",NA,"No Review",0,0,0,0,0
"174","HENRETTA.JAMES.A.","312643292","9780312643294","AMERICA.CONCISE.HISTORY.5E.V2",2012-01-09,"PT","OSI",487,0,0,444,"",NA,"No Review",0,0,0,0,0
"175","ROTTENBERG.ANNETTE.T.","312646992","9780312646998","ELEMENTS.OF.ARGUMENT.10E",2011-08-03,"PT","OSI",617,0,0,37,"312646992","9780312646998","No Review",0,0,0,0,0
"176","MCKAY.JOHN.P.","312653603","9780312653606","LL.HIST.WEST.SOC.10E.V1",2010-10-20,"LL","AS",610,0,0,1,"312689314","9780312689315","No Review",0,0,0,0,0
"177","RUSZKIEWICZ.JOHN.J.","312674902","9780312674908","HOW.TO.WRITE.ANYTHING.2E",2012-01-05,"PT","OSI",720,70,0,236,"312668317","9780312668310","No Review",0,0,0,0,0
"178","ROGAWSKI.JON","1429208384","9781429208383","CALC.COMBO.ET.2E.C",2011-03-30,"CT","AS",1188,508,0,305,"716772671","9780716772675","No Review",0,0,0,0,0
"179","ROGAWSKI.JON","1429208392","9781429208390","CALCULUS.COMBO.LT.2E.C",2011-03-30,"CT","AS",91,4,0,806,"716769115","9780716769118","No Review",667,1333,2000,2666,3333
"180","RAY.MARGARET","1429218274","9781429218276","HS.AP.KRUGMAN.ECONOMICS.1E",2011-01-03,"CT","AS",43,569,85,727,"",NA,"No Review",0,0,0,0,0
"181","MORRIS.JAMES.R.","1429218703","9781429218702","BIOLOGY.HOW.LIFE.WORKS.1E",2013-01-09,"CT","OSI",2,170,2,1872,"",NA,"No Review",15,30,45,60,75
"182","HOUTMAN.ANNE","1429219726","9781429219723","ENV.SCI.CHANGING.WORLD.1E",2012-03-05,"PT","OSI",196,0,0,169,"",NA,"No Review",0,0,0,0,0
"183","BERG.JEREMY.M.","1429229365","9781429229364","BIOCHEMISTRY.7E.C",2010-12-24,"CT","OSI",223,559,0,558,"716787245","9780716787242","No Review",0,0,0,0,0
"184","ROGAWSKI.JON","1429231874","9781429231879","MULTIVARI.CALC.ET.C.2E",2011-03-25,"CT","AS",374,0,0,129,"1429210796","9781429210799","No Review",0,0,0,0,0
"185","SCHACTER.DANIEL.L.","1429237198","9781429237192","PSYCHOLOGY.2E.C",2010-12-10,"CT","AS",192,400,4,0,"716752158","9780716752158","No Review",0,0,0,0,0
"186","DOMOSH.MONA","1429240180","9781429240185","HUMAN.MOSAIC.12E",2011-11-18,"PT","OSI",411,0,0,62,"1429214260","9781429214261","No Review",605,100,123,-553,-165
"187","SCHACTER.DANIEL.L.","1429242302","9781429242301","INTRO.PSYCH.P.2E",2012-09-15,"PT","AS",380,25,0,23,"1429218215","9781429218214","No Review",30,59,89,119,148
"188","BROWN.TIM","1429262567","9781429262569","CTB.TPS.4E",2011-07-13,"CO","AS",1301,15,0,0,"",NA,"No Review",63,191,120,-589,-764
"189","ATKINS.PETER","1429266112","9781429266116","CHEM.PRINCIPLES.5E.LL",2010-05-25,"LL","AS",206,0,0,0,"",NA,"No Review",0,0,0,0,0
"190","KRUGMAN.PAUL","1429283424","9781429283427","MICRO.ECON.3E",2012-04-20,"PT","OSI",-134,859,134,215,"",NA,"No Review",139,425,-192,-14,125
